Stock_A,Stock_B,Hedge_Ratio,ADF_Stat,ADF_PValue,Correlation,Half_Life,Spread_Mean,Spread_Std,Valid
DATAMATICS.NS,ELECON.NS,0.09278743055207053,-4.864331789954688,4.089997481722662e-05,0.2818492257615896,3.55532809541277,566.4520195865063,30.867571932583008,True
OFSS.NS,TECHM.NS,6.870098850729068,-4.861058008471415,4.1500643486310466e-05,0.7317332045677909,9.172833440589178,-1923.2659087283182,752.0596999746432,True
DATAMATICS.NS,NAZARA.NS,0.024536672732918263,-4.847306420856853,4.411766113639888e-05,0.12272136207798891,3.620489129476596,591.5047136086524,31.928678939522534,True
DATAMATICS.NS,TATAELXSI.NS,0.031109918687091193,-4.811346195210798,5.1732074334365044e-05,0.4749792249939124,3.292856851433793,433.8237116657847,28.311141194011594,True
IGARASHI.NS,INFY.NS,0.48271196359648744,-4.670316165750015,9.564802737742207e-05,0.9151311213448882,2.9844488213935327,-256.32419413568044,32.763186362207534,True
DATAMATICS.NS,EMUDHRA.NS,0.11170237457516838,-4.561713481757697,0.00015186776533161804,0.27372053446733796,3.6458791882835317,528.9544917508377,30.943193811711165,True
DATAMATICS.NS,KPITTECH.NS,0.20768138845929596,-4.516357415472104,0.00018368186584348216,0.537502531124843,3.2608606770444313,346.11875896836375,27.1293119586531,True
IGARASHI.NS,TCS.NS,0.26291093008146293,-4.244415850190707,0.0005536658358915236,0.923729420146528,2.8482905074221145,-412.0976963056676,31.128856024251657,True
PERSISTENT.NS,TECHM.NS,3.4696533552432385,-4.239906905340109,0.0005635789158142607,0.9267591167366735,2.9400000157339075,279.4454556630823,165.28287543279663,True
NEWGEN.NS,PERSISTENT.NS,0.30464764793842175,-4.027989213331229,0.0012708383318871979,0.6487232985441574,10.006735887269247,-581.6231708447792,157.24406272594172,True
CYIENT.NS,SONATSOFTW.NS,1.8697030798413263,-3.8199736585324673,0.0027094434474115815,0.9034168977616841,3.9459587197620847,544.348368148666,74.3905452709988,True
TANLA.NS,UNOMINDA.NS,0.8239491828169107,-3.7181451379944948,0.0038650460498811452,0.8876488717637929,3.884162866620859,-244.58118093402604,38.371170598961925,True
PERSISTENT.NS,TATAELXSI.NS,0.7749971484051049,-3.6029291009587134,0.0057052759069019295,0.8651963147507671,3.7806655528722044,1053.7628787418118,220.62286433200126,True
MASTEK.NS,SONATSOFTW.NS,2.4686845981019725,-3.550479771182726,0.00678145502884656,0.874228483038042,5.0712878830329435,1359.89437441198,114.9367319065539,True
CYIENT.NS,WIPRO.NS,4.3656464547307685,-3.4906301574821192,0.008231017553883809,0.6139336508488,8.341906495145682,159.1532030844883,136.95377862311017,True
CYIENT.NS,MASTEK.NS,0.6547519581294509,-3.4561514528075064,0.009187269066860092,0.893373420890527,3.863085621993263,-237.60638453754427,77.95627563629597,True
ECLERX.NS,UNOMINDA.NS,3.471321250397989,-3.438400714719796,0.009717407076470676,0.8075354923422678,7.779636130943518,-304.98021690796,227.58751416093497,True
CORALFINAC.NS,TANLA.NS,0.05198700762591307,-3.4235045542485905,0.010183228340030838,0.8850575523402131,4.249314553895332,14.67800525742186,2.2781460270714016,True
CORALFINAC.NS,MPHASIS.NS,0.017174769036839614,-3.3830639454668194,0.011549949132828835,0.7846499983084682,5.031595577219788,-0.14587051974026052,3.034086783217726,True
MASTEK.NS,MPHASIS.NS,0.8092950164469676,-3.3820179886776356,0.011587366415473243,0.7643891990050093,6.9393003763679015,359.3656715488122,152.63397728193272,True
MASTEK.NS,TECHM.NS,1.4240084779217765,-3.370549378579216,0.012004760867979794,0.7069265424915524,7.388246225958203,217.1710302786109,167.43725201249455,True
COFORGE.NS,UNOMINDA.NS,1.7008785818706926,-3.358921026491249,0.012441550425166184,0.8627447791368662,4.996630410595567,1.4138592943499957,89.4805382027533,True
KPITTECH.NS,PERSISTENT.NS,0.1555486163725065,-3.3496536568028765,0.012799691359767306,0.821948106676909,4.325652955273702,431.41262329634947,47.42424377384128,True
OFSS.NS,PERSISTENT.NS,2.020889604519079,-3.3093195666083832,0.014466994582312123,0.8058451333292426,8.026700554269011,-2706.8390405827686,653.3452775299033,True
COFORGE.NS,TANLA.NS,1.886454002757885,-3.2907215431005086,0.0152983505119331,0.8882075689327638,4.398961723250315,604.9476867933828,81.30524092457006,True
OFSS.NS,TATAELXSI.NS,1.666300360851323,-3.2341241755825587,0.018092480439546556,0.7417829424142531,10.921762712699323,-1169.57566992919,739.976358695016,True
OFSS.NS,WIPRO.NS,16.103092265438516,-3.2327451555803637,0.01816579833429265,0.3560852626676521,13.963328066078969,4315.039951118086,1031.0650002013053,True
ARROWGREEN.NS,OFSS.NS,0.06083263525275281,-3.219017335636314,0.018909935977190033,0.7861560615289438,9.350020939694064,106.64955022393433,52.767242610242306,True
HCLTECH.NS,MASTEK.NS,0.44153210254842973,-3.217489417705677,0.018994382031935195,0.8480208591817696,4.502777812785822,583.3175924673218,65.32171904136449,True
NAZARA.NS,SARLAPOLY.NS,9.142695380036585,-3.215055642926166,0.019129573078407017,0.8720979788350695,6.742994433163067,218.10139694134145,78.73787088409352,True
OFSS.NS,PANACHE.NS,1.8958242675504056,-3.206847766040876,0.01959170958373817,0.07274879432007987,12.659559378010044,8219.269353552465,1100.4646215848265,True
CORALFINAC.NS,UNOMINDA.NS,0.04160627939699498,-3.19899033994234,0.02004319674289183,0.7630910350321595,6.028781955040818,3.154503706265279,3.163057939317419,True
NEWGEN.NS,OFSS.NS,0.16294371433443158,-3.197017961305155,0.020157941506840638,0.8701422982536563,6.373447283115013,-279.5144591747683,101.82323208103664,True
INTELLECT.NS,SARLAPOLY.NS,11.359750802741626,-3.190507558744077,0.020540755980755238,0.9239871720732576,5.269500287984964,-173.64967161057592,72.1637510671786,True
